source_id,official_name,prefecture,action,target_candidate_id,match_rule
LASENS-228,あじびホール,福岡県,attach_space,CAND-1521,manual_reviewed
LASENS-3297,国立劇場おきなわ 小劇場,沖縄県,new,,no_match
LASENS-3931,新世界ZAZA POCKETS,,new,,no_match
LASENS-658,せんだい演劇工房10-BOX box-1,宮城県,tag_only,CAND-064,name_exact
LASENS-665,彩の国さいたま芸術劇場 小ホール,埼玉県,attach_space,CAND-1023,name_room_of
LASENS-4335,Asagiri Mist Theater,東京都,new,,no_match
LASENS-231,あかいくつ劇場,神奈川県,new,,no_match
LASENS-621,富山県利賀芸術公園 野外劇場,富山県,new,,no_match
LASENS-2363,ナンジャーレ,愛知県,tag_only,CAND-072,name_exact
LASENS-388,ラブリーホール 小ホール,大阪府,new,,no_match
LASENS-3436,芸術文化観光専門職大学 実習棟小劇場「そぞろ座」,兵庫県,new,,no_match
LASENS-615,江東区森下文化センター 多目的ホール,,attach_space,CAND-1402,name_room_of
LASENS-3438,ジョブキタ北八劇場,北海道,new,,no_match
LASENS-669,仙台銀行ホール イズミティ21 小ホール,宮城県,attach_space,CAND-1097,manual_reviewed
LASENS-412,成田公民館 市民ホール,千葉県,new,,no_match
LASENS-2963,新宿 at THEATRE,東京都,new,,no_match
LASENS-250,川崎市アートセンター アルテリオ小劇場,神奈川県,new,,no_match
LASENS-559,富山県利賀芸術公園 利賀スタジオ,富山県,new,,no_match
LASENS-3428,パティオ池鯉鮒（知立市文化会館） 花しょうぶホール,愛知県,attach_space,CAND-1316,name_room_of
